 Star name , RA         , Dec       , vmag  ,sptype  , vrot , good?   ,  notes                      ,flag,name,RA_deg,Dec_deg
    HR4123 , 10 30 59.8 , -13 35 17 ,5.58,    B9V ,310,  good   ,                             ,True,HR4123,157.74916666666667,-13.588055555555556
    HR4172 , 10 38 50.4 , -12 26 37 ,6.04,    A0V ,210,  good   ,                             ,True,HR4172,159.70999999999998,-12.443611111111112
    HR5238 , 13 53 51.0 , +53 43 43 ,5.7,    A0V ,225,  good   ,                             ,True,HR5238,208.46249999999998,53.728611111111114
    HR5949 , 15 55 49.7 , +58 54 42 ,6.31,    A0V ,180,  good   ,                             ,True,HR5949,238.95708333333332,58.91166666666666
    HR6013 , 16 08 46.6 , +17 12 20 ,6.14,    A0V ,275,  good   ,                             ,True,HR6013,242.19416666666663,17.205555555555556
    HR6054 , 16 14 53.5 , -25 28 36 ,6.05,   B7IV ,181,  good   ,                             ,True,HR6054,243.72291666666666,-25.476666666666667
    HR6511 , 17 25 41.3 , +60 02 53 ,5.65,    A1V ,180,  good   ,                             ,True,HR6511,261.4220833333333,60.04805555555556
    HR6502 , 17 26 49.1 , +20 04 50 ,5.54,    B5V ,251,  good   ,                             ,True,HR6502,261.70458333333335,20.080555555555556
    HR6827 , 18 11 07.1 , +60 24 33 ,6.49,    A1V ,300,  good   ,                             ,True,HR6827,272.77958333333333,60.409166666666664
    HR6826 , 18 13 04.8 , +38 46 25 ,6.04,  B9III ,250,  good   ,                             ,True,HR6826,273.27,38.77361111111111
    HR6873 , 18 21 28.4 , +05 26 08 ,6.13,    B3V ,300,  good   ,                             ,True,HR6873,275.36833333333334,5.435555555555556
    HR6881 , 18 23 12.1 , -12 00 52 ,5.73,   B8IV ,250,  good   ,                             ,True,HR6881,275.80041666666665,-12.014444444444445
    HR7202 , 19 01 17.4 , +26 17 29 ,5.69,    B5V ,296,  good   ,                             ,True,HR7202,285.3225,26.29138888888889
    HR7457 , 19 35 48.3 , +36 56 39 ,6.05,    B8V ,400,  good   ,                             ,True,HR7457,293.95125,36.94416666666666
    HR7466 , 19 37 09.4 , +29 20 01 ,6.43,    B5V ,300,  good   ,                             ,True,HR7466,294.2891666666667,29.33361111111111
    HR7543 , 19 47 27.7 , +38 24 27 ,5.77,    B8V ,350,  good   ,                             ,True,HR7543,296.86541666666665,38.4075
    HR7757 , 20 16 28.2 , +37 03 23 ,6.48,  B6III ,300,  good   ,                             ,True,HR7757,304.1175,37.05638888888888
    HR7803 , 20 24 37.4 , +01 04 07 ,6.15,    B9V ,265,  good   ,                             ,True,HR7803,306.15583333333336,1.0686111111111112
    HR7890 , 20 39 13.2 , -02 24 46 ,6.22,  B7III ,250,  good   ,                             ,True,HR7890,309.805,-2.412777777777778
    HR8451 , 22 10 21.1 , -03 53 39 ,6.27,    A1V ,254,  good   ,                             ,True,HR8451,332.58791666666673,-3.8941666666666666
    HR8682 , 22 48 47.8 , +54 24 54 ,6.12,    B5V ,358,  good   ,                             ,True,HR8682,342.19916666666666,54.415
    HR8758 , 23 00 54.7 , +38 42 29 ,6.54,    B3V ,370,  good   ,                             ,True,HR8758,345.22791666666666,38.70805555555556
    HR8808 , 23 07 47.7 , +63 37 59 ,6.26,    B3V ,180,  good   ,                             ,True,HR8808,346.94875,63.63305555555556
    HR8936 , 23 32 24.6 , +34 57 09 ,6.65,    B8V ,250,  good   ,                             ,True,HR8936,353.1025,34.9525
